econ_lane,matched_terms,econ_score,article_key,title,source,published_at,uid,first_seen_digest,last_seen_digest,observation_count,first_feed_topic,first_window_type,first_source_file
inflation,inflacion,5,content:189359793ae41660c3330b325fa40029d4bfbfa7,"Se aceleró la inflación en Argentina durante julio, impulsada por factores estacionales",El Comentario,2026-08-14 01:30:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
inflation,inflacion,5,content:57ed97e19c65940e7e63cc8fcc3ae36f13913bd0,Argentina: inflación volvió a acelerar en julio pese a promesa «cero» de Milei,teleSUR,2026-08-14 01:22:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
fx,dolar,2,content:1096797a9e04b719440d84e47d5a14d776b81c6d,"Dólar hoy: subieron el mayorista y el blue, mientras que el minorista se mantuvo estable",TN24.com.ar,2026-08-14 00:23:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
rates,tasas de interes,5,content:38633f907021eb332ce6b9c5a82cbaf7a2bc1b02,"""Son abusivas"": Luis Caputo habló sobre las tasas de interés que cobran las billeteras virtuales para solicitar préstamos",Diario Río Negro,2026-08-14 00:19:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
fx,dolar,2,content:feea8a23503575f88b3ab168d55bf152cbaa13c8,"FIX prevé dos escenarios para la economía: dólar más alto, consumo débil y tensión electoral",Identidad Correntina,2026-08-14 00:04:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
inflation,ipc,5,content:be8f7ac805728e266c9f8d23a22b465311072d37,"Índice inflacionario de julio: el INDEC comunicó un 2,1% y el IPC creció un 0,2% comparado con junio",Net tv | Aire Fresco,2026-08-13 23:41:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_06.md
reserves,bcra | reservas,5,content:1ad47d2939b10712dfa72b4b23999a7c54717dcc,"Las compras del BCRA superaron los u$s200 millones en agosto, pero la caída del oro presionó a las reservas",Ambito,2026-08-13 23:28:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_06.md
reserves,banco central,5,content:4cc5c94eeaf91f00afe929da5408fa90493f9a8d,"Banco Central peruano mantiene estable su tasa clave en 4,25% por duodécimo mes consecutivo",TradingView,2026-08-13 23:26:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_06.md
fx,dolar,2,content:8d166c89e473004d7ec928e71135a4cfdd83f451,El dólar blue anotó su tercera suba de la semana y volvió a acercarse a los $1.550,Diario Neuquino,2026-08-13 23:00:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_05.md
inflation,inflacion,5,content:8681544f258aab8fa382e044fe2531ce48cca174,"En Argentina la inflación de julio fue de 2,1%: Indec",Finanzas Digital,2026-08-13 22:43:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_05.md
reserves,bcra,5,content:698140beece8dbd32a6fa7133da9efb376f7a644,Créditos en dólares: el BCRA definió las pautas para que los bancos puedan prestarle a más empresas,Infobae,2026-08-13 22:07:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
inflation,inflacion,5,content:e2c4710859cdcbed7dcb63ba0f635e17b30ce7f1,"Inflación argentina repunta en julio y enciende alertas sobre la economía, ¿por qué aumentó?",debate.com.mx,2026-08-13 21:55:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
fx,dolar,2,content:bfc517604f7465141bf8aae28c13190a95c764fd,El dólar pegó otro salto,Página|12,2026-08-13 21:54:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
fx,dolar,2,content:545f7073f1df891740d5f39e58d905962c49aa75,"El dólar mayorista subió por segunda rueda al hilo, pero la brecha se ubicó en máximos de dos meses",Ambito,2026-08-13 21:39:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
reserves,bcra,5,content:94335ee63bcb2b576fdf60a171dbe1c60cc9e70e,Créditos en dólares: Caputo anunció un importante cambio para las empresas y el BCRA prepara nuevas reglas,Radio del Plata,2026-08-13 21:32:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
fx,dolar,2,content:78aa3d73a0e6169faf20f84a931ba1b041de65d3,El dólar blue en San Juan operó en calma y se mantuvo a $1.470 para la venta,0264Noticias,2026-08-13 21:23:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
fx,dolar,2,content:2f9a6e52268bd30b2f989bdcd743b53b8827e64d,Dólar blue sube por tercera vez en la semana y se acerca a los $1.550,Rosario Finanzas,2026-08-13 21:21:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
inflation,inflacion,5,content:a0f0eddc93ac066ba74c20a3107107a2955a464d,La inflación en Argentina se acelera en julio por las vacaciones de invierno,BioBioChile,2026-08-13 21:06:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
fx,dolar,2,content:406ad9b83c52824817bcf372e64b84f2940b8b7f,El dólar mayorista roza los $1.500 y marca el pulso cambiario - Diario El Norte,Diario El Norte - San Nicolás,2026-08-13 21:06:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
rates,dolar | plazo fijo,4,content:002ca6ebecb3e26ecaa65f439631eef6449b8ba5,Llenar el freezer como inversión: la carne le gana al dólar y al plazo fijo en el año,iProfesional,2026-08-13 21:00:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
reserves,bcra | dolar,7,content:fce7c7b843594e6e8033757e390dca15adaf3a5b,El dólar mayorista rozó los $1.500 y el mercado sigue de cerca la intervención del BCRA,El Esquiu,2026-08-13 20:50:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
inflation,inflacion,5,content:242a90891a8be5cfec0edac5a5a0061d42a18f49,Milei no logra consolidar su proceso de reducción de la inflación en Argentina,EL PAÍS,2026-08-13 20:42:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_02.md
inflation,inflacion,5,content:936e504fbd824aab6b290e080390af1c21fd30a5,Inflación de Argentina se aceleró levemente durante julio,El Economista,2026-08-13 20:40:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_02.md
inflation,precios minoristas,5,content:703dbc0639f0a99db7e96fa648b1abd5517a2950,"Precios minoristas de Argentina +2,1% en julio: INDEC",TradingView,2026-08-13 20:22:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_01.md
inflation,inflacion,5,content:5c36e69815265239ddcb7b6b506b32d4f7666f85,La inflación de julio detiene la tendencia a la baja de precios en Argentina,Cadena 3 Argentina,2026-08-13 20:12:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_01.md
fx,dolar,2,content:fba7877fb02ffa68b5fcc8ddabf4bb245ebd654a,Así cerró el dólar en los bancos argentinos este martes 21 de julio,El Litoral,2026-07-21 18:13:00+00:00,,2026-07-21 18:00:00+00:00,2026-07-21 18:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260721T18_All_Topics_01.md
fx,dolar,2,content:782b22761e25a8179502abc4faf8deb82a05fe20,"El Gobierno apuesta a la calma del dólar, pero ya tiene a la fortaleza de la divisa en la mira",MDZ Online,2026-07-21 18:05:00+00:00,,2026-07-21 18:00:00+00:00,2026-07-21 18:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260721T18_All_Topics_01.md
fx,dolar,2,content:962c068bfe613c6a748bb72d0bb35f8610e8ba10,Dólar hoy: cuánto está este miércoles 6 de mayo,Radio Mitre,2026-05-06 14:40:00+00:00,,2026-05-06 14:00:00+00:00,2026-05-06 14:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260506T14_All_Topics_02.md
fx,dolar,2,content:dd3e89bdbe948c2bd7596c1a2d55afc8a4bb7da5,El dólar en Córdoba: cotizaciones de este miércoles 6 de mayo,Canal C,2026-05-06 14:16:00+00:00,,2026-05-06 14:00:00+00:00,2026-05-06 14:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260506T14_All_Topics_01.md
fx,dolar,5,content:e826f073011f23fedfdeaeafc4b4be118af848a0,Cavallo pidió levantar el cepo al dólar y Luis Caputo lo cruzó con dureza,Fenix 95.1,2026-05-06 12:38:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260506T12_All_Topics_02.md
inflation,inflacion,5,content:3e7f7ebcd7048954137b59e4e8f6e55d3a66a7eb,Fitch subió la nota a Argentina y afirman que desaceleró la inflación: los temas del día en BAE Negocios,BAE Negocios,2026-05-06 03:00:00+00:00,,2026-05-06 03:00:00+00:00,2026-05-06 03:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260506T03_All_Topics_01.md
fx,dolar,5,content:15f6a62d5d2bc1c92ae8a615119fb4cdea2dcc27,Bajó el dólar oficial en el Banco Nación y la suba del blue achicó la brecha,Diario UNO,2026-05-05 20:54:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_08.md
rates,plazo fijo,5,content:c743badb8dd2169aa23c8d12f122d13ad099c6f0,Plazo fijo Banco Nación tras cambios en la tasa: cuánto se gana con $2 millones,iProfesional,2026-05-05 20:42:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_08.md
reserves,banco central | dolar,7,content:a53843e9263f86c8bdb3eae36d0875bca9dd14c0,Dólar: el Banco Central acumuló 80 días consecutivos de compras y ya alcanzó el 73% de su meta,TN,2026-05-05 20:35:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_08.md
reserves,banco central | dolar,7,content:f4276dcf8d5d82247d8eb2d3152f561bcead4d07,El dólar blue cerró en alza este martes 5 de mayo y el Banco Central volvió a comprar dólares,MSN,2026-05-05 20:32:00+00:00,,2026-05-05 20:00:00+00:00,2026-05-05 20:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260505T20_All_Topics_01.md
inflation,inflacion,5,content:33281b65a506581ec40bac3370724a6f9880fc8a,Inflación en Argentina: ¿A qué ritmo va a desacelerar?,Infobae,2026-05-05 20:06:00+00:00,,2026-05-05 20:00:00+00:00,2026-05-06 12:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260505T20_All_Topics_01.md
inflation,inflacion,5,content:ac6fd7894564b25accc4710ccdabfef4d7e57c75,"La inflación en Argentina hoy y su impacto en consumo, mercados y apuestas",Realidad Sanmartinense,2026-05-05 14:56:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_04.md
rates,plazo fijo | tasa de interes,2,content:7c15a12a5ad202ff466d2f20b0597e77f656250f,Plazo fijo: cuál es la tasa de interés banco por banco este martes 5 de mayo,La Nación,2026-05-05 14:14:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_04.md
fx,dolar,5,content:726e2ffee922c376edbcc406c6c620d1b39aeb00,Banco Nación se fondeará con bonos UVA y atados al dólar MEP,El Cronista,2026-05-05 12:59:00+00:00,,2026-05-05 20:00:00+00:00,2026-05-05 20:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260505T20_All_Topics_02.md
inflation,inflacion,5,content:100f46eadd356327f4311cadf0e3596a81ea615c,"Argentina: la inflación acumuló un 11,1%",El País Tarija,2026-05-05 04:01:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_03.md
inflation,inflacion,5,content:cd87d8eb789ede0e05b43d364df92ab203e838b5,Ciclo del carry trade e inflación: ¿Argentina está en un proceso de desinflación?,El Economista: Últimas noticias económicas y financieras,2026-05-04 22:15:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_02.md
reserves,banco central | dolar,7,content:afd122f22fc51081caf22e8329f8f92234a9a39c,El dólar blue cerró en alza este lunes 4 de mayo y el Banco Central volvió a comprar dólares,Perfil,2026-05-04 20:19:00+00:00,,2026-05-04 20:00:00+00:00,2026-05-04 20:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260504T20_All_Topics_01.md
fx,dolar,3,content:8506bcfa07ed7c47720f02ef77fbc939f33e74e1,¿A cuánto cotizó el dólar oficial este lunes en Argentina?,ADNSUR,2026-05-04 16:43:00+00:00,,2026-05-04 16:00:00+00:00,2026-05-04 16:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260504T16_All_Topics_01.md
inflation,inflacion | ipc,5,content:34bb2a8159131afacf54ffbe5795b698fc54ca9d,Inflación: cuándo el INDEC dará a conocer el IPC de abril 2026 y qué dicen las estimaciones privadas,C5N,2026-05-04 16:07:00+00:00,,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260506T12_All_Topics_01.md
inflation,inflacion,5,content:cd654a35e356f892058a4713f81c1be598e2227d,Argentina aumenta impuestos al combustible en mayo por inflación,Inspenet,2026-05-04 14:46:00+00:00,,2026-05-04 20:00:00+00:00,2026-05-04 20:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260504T20_All_Topics_04.md
reserves,banco central | dolar,7,content:323034f14221b901c62d4fd365734242ce461495,"“Si el Banco Central no hubiese comprado más de USD 7.000 millones, el dólar estaría más cerca de $1.300”",Perfil,2026-05-04 14:26:00+00:00,,2026-05-04 14:00:00+00:00,2026-05-04 20:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260504T14_All_Topics_02.md
reserves,bcra | dolar,7,content:9705c1d9fad9293cf29076f2146e7597e51c8095,Cayó la demanda de cobertura cambiaria y colapsó la posición del BCRA en dólar futuro: qué bonos recomiendan,El Cronista,2026-05-04 14:19:00+00:00,,2026-05-04 20:00:00+00:00,2026-05-04 20:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260504T20_All_Topics_03.md
inflation,dolar | inflacion,7,content:60907e213307952ceed0b4c9da61b0f1c406f34e,ECONOMÍA. Estrategias de inversión en Argentina: Cómo proteger el capital frente a la inflación y el dólar,Diario de Las Varillas,2026-05-04 13:38:00+00:00,,2026-05-04 20:00:00+00:00,2026-05-06 12:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20260504T20_All_Topics_02.md
inflation,dolar | inflacion,7,content:bf2a83d83cfad1ffd4b3096515abc676e0cceb8d,"Ni el dólar, ni la inflación: el “llamado de atención” a Milei que los argentinos miran con lupa",El Cronista,2026-05-03 11:28:00+00:00,,2026-05-03 11:00:00+00:00,2026-05-04 00:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260503T11_All_Topics_01.md
fx,dolar,5,content:3e79c6f717d051e2f968a4c4b1a5f9ef69e24cdc,Dólar hoy Argentina: qué puede pasar este 4 de mayo,FM Luzu 92.3 MHz,2026-05-02 21:02:00+00:00,,2026-05-02 21:00:00+00:00,2026-05-03 00:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260502T21_All_Topics_01.md
rates,dolar | plazo fijo,4,content:d33e708169d5af1c77ed1285247aeb2cc1a21721,Plazo fijo vs. dólar: el ganador de la carrera en abril,TN,2026-05-02 16:50:00+00:00,,2026-05-02 20:00:00+00:00,2026-05-03 08:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20260502T20_All_Topics_05.md
fx,dolar,5,content:07c068571623cb7c296568ed94e995fb72364510,Milei reivindicó su plan económico y apuntó contra el “chanterío” por el dólar,Primera Edición,2026-05-02 15:03:00+00:00,,2026-05-02 15:00:00+00:00,2026-05-03 12:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260502T15_All_Topics_01.md
rates,dolar | plazo fijo,4,content:70d40509846d0b91d305e6f02e13237183a8a7f1,¿Dólar o plazo fijo UVA?: la inversión que rendirá más en 2026 según la City,iProUP,2026-05-02 04:53:00+00:00,,2026-05-02 08:00:00+00:00,2026-05-02 08:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260502T08_All_Topics_02.md
inflation,inflacion | masa salarial,7,content:1f87f72120adaf8a5b3a9f17b7e0b4a1ae1a95aa,Ingresos en Argentina: la masa salarial sigue 4% debajo de 2023 tras nueva suba de la inflación,Sitio Andino,2026-05-02 00:00:00+00:00,,2026-05-02 16:00:00+00:00,2026-05-03 12:00:00+00:00,2,All Topics,8h,data/output_digests/headlines_8h_window_20260502T16_All_Topics_01.md
rates,banco central | tasa de interes,7,content:00919cc46f50d4ccab27d59e2a88446052146c6c,"Banco central de Colombia, en disputa con el Gobierno, mantiene tasa de interés en 11,25 %",Infobae,2026-04-30 20:14:00+00:00,,2026-04-30 20:00:00+00:00,2026-05-01 08:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260430T20_All_Topics_01.md
rates,banco central | tasa de interes,7,content:d1e9c813b77d953eef2bc171b14ade981c8a6dd0,"El Banco Central de Brasil volvió a reducir la tasa de interés un 0,25, hasta el 14,50%",Infobae,2026-04-30 16:52:00+00:00,,2026-04-30 20:00:00+00:00,2026-05-02 12:00:00+00:00,4,All Topics,4h,data/output_digests/headlines_4h_window_20260430T20_All_Topics_07.md
reserves,dolar | inflacion | reservas,9,content:2b9613de5506fcfbdff3eb72c86fb0b910d07a3e,"La ECONOMÍA de MILEI: dólar estable, inflación a la baja y reservas récord",Fundación Libertad y Progreso,2026-04-30 09:44:00+00:00,,2026-04-30 09:00:00+00:00,2026-05-01 00:00:00+00:00,3,All Topics,1h,data/output_digests/headlines_1h_window_20260430T09_All_Topics_01.md
rates,banco central | inflacion | tasa de interes,9,content:6728b945b47598166a62fd2a065ac8f37a396920,"Banco Central de Brasil baja su tasa de interés al 14,5% en medio de una inflación creciente",Bloomberg Línea,2026-04-29 22:01:00+00:00,,2026-04-29 22:00:00+00:00,2026-04-30 04:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260429T22_All_Topics_01.md
reserves,bcra | dolar | inflacion,9,content:46c02edd5812d32fb9d5d5ca7dddfba9d20dbf4c,"El titular del BCRA aseguró que el dólar ""flota libremente"" y la INFLACIÓN es temporal",iProfesional,2026-04-29 19:03:00+00:00,,2026-04-29 19:00:00+00:00,2026-04-30 12:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260429T19_All_Topics_01.md
fx,dolar,5,content:6a24a619580e814a018fa4cd7d9ad12dd3fb8979,Dólar cripto se regula en EE.UU. y Europa: qué pasa en Argentina,iProUP,2026-04-29 09:54:00+00:00,,2026-04-29 16:00:00+00:00,2026-04-29 16:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260429T16_All_Topics_01.md
inflation,dolar | inflacion,7,content:813e7c681b1adc46d64c28eb962f916d054a9e1f,"Tres desafíos para Milei: que el dólar se acomode más arriba, la inflación más abajo y viajar a China",Clarin.com,2026-04-28 19:13:00+00:00,,2026-04-28 19:00:00+00:00,2026-04-29 12:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260428T19_All_Topics_01.md
fx,dolar,5,content:058cf98a1806976243cccd7e236a37b28aabc4c2,"Lo que tenés que saber: Milei y Macri juntos, sube el dólar y la joya del mercado",El Cronista,2026-04-28 12:30:00+00:00,,2026-04-28 12:00:00+00:00,2026-04-28 16:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260428T12_All_Topics_01.md
fx,dolar,5,content:9f971b290c52dc493e456b6d7dbb524ed4b466c2,Dólar atrasado y pases de factura: el reclamo empresario detrás del show ortodoxo de Milei,Perfil,2026-04-28 08:30:00+00:00,,2026-04-28 08:00:00+00:00,2026-04-29 00:00:00+00:00,3,All Topics,1h,data/output_digests/headlines_1h_window_20260428T08_All_Topics_01.md
fx,dolar,5,content:1f40f7026d0e1fc8435958c8436be99af6ed2d02,El dólar subió a $1.440 en el Banco Nación: los 5 factores que impulsaron este aumento,Infobae,2026-04-27 19:53:00+00:00,,2026-04-28 08:00:00+00:00,2026-04-28 12:00:00+00:00,2,All Topics,8h,data/output_digests/headlines_8h_window_20260428T08_All_Topics_04.md
fx,dolar,5,content:576d0540a32f3b6915ece770e48255c0216881f0,El dólar volvió a escalar y cerró a $1.440 en el Banco Nación: claves para entender la suba,La Gaceta,2026-04-27 19:31:00+00:00,,2026-04-28 08:00:00+00:00,2026-04-28 08:00:00+00:00,1,All Topics,8h,data/output_digests/headlines_8h_window_20260428T08_All_Topics_03.md
inflation,dolar | inflacion,7,content:8237110b41a61a721917b3ca3bb4536ceae5582a,Inflación en dólares: el costo oculto del dólar barato en Argentina,LM Neuquén,2026-04-26 10:15:00+00:00,,2026-04-28 12:00:00+00:00,2026-04-28 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260428T12_All_Topics_01.md
inflation,inflacion | poder adquisitivo | salarios,7,content:9e59e20dd7d696ef04d2f7b3164e1a692f7f3e01,"Radiografía económica: salarios, inflación y la pérdida del poder adquisitivo en Argentina",Diario San Rafael,2026-04-26 09:00:00+00:00,,2026-04-28 12:00:00+00:00,2026-04-28 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260428T12_All_Topics_01.md
inflation,inflacion | salario,7,content:c64d82c6ae3d2b775cce2c4bc16842ed50736a7b,"El 70% de los votantes de Milei asegura que su salario perdió contra la inflación, según una encuesta",Infobae,2026-04-25 03:43:00+00:00,,2026-04-25 08:00:00+00:00,2026-04-25 08:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260425T08_All_Topics_03.md
fx,dolar,5,content:f39eac49dd710cb369c0a28d2d0a41174a7b8f80,"Cuándo se va el dólar a $2.000 en Argentina, según una consultora de referencia mundial",El Destape,2026-04-24 22:22:00+00:00,,2026-04-24 22:00:00+00:00,2026-04-25 04:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260424T22_All_Topics_01.md
fx,dolar,5,content:c501093f78e7eaa9574b69d5c853e5eb292fe182,Entre subas y estabilidad: así cerró el dólar este viernes 24 en Argentina,Sur 24 Noticias,2026-04-24 17:09:00+00:00,,2026-04-25 00:00:00+00:00,2026-04-25 00:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260425T00_All_Topics_02.md
rates,bcra | tasa de interes,7,content:380b96e0ab15561c0b0504ec5387c0e14e4c1286,El BCRA bajó la tasa de interés: la caución se mantiene en 20% y el mercado busca oportunidades,El Cronista,2026-04-24 15:04:00+00:00,,2026-04-24 15:00:00+00:00,2026-04-24 20:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260424T15_All_Topics_01.md
fx,dolar,5,content:ce086aa7062983a8ca468b344e96506f50ed37f0,El dólar subió en todos los segmentos: el minorista avanzó $15 y superó los $1.400 en el Banco Nación,La Gaceta,2026-04-23 20:37:00+00:00,,2026-04-23 20:00:00+00:00,2026-04-24 04:00:00+00:00,3,All Topics,1h,data/output_digests/headlines_1h_window_20260423T20_All_Topics_01.md
inflation,inflacion | salarios,7,content:eec1f72a8a7ede5c83a943be2652d5184d0bc79d,"Salarios: pese a los dichos de Milei, caen frente a la inflación y los datos de informales están cuestionados",Chequeado,2026-04-22 18:09:00+00:00,,2026-04-22 18:00:00+00:00,2026-04-23 12:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260422T18_All_Topics_01.md
inflation,inflacion | poder adquisitivo,7,content:187bbf191ca16cdf1d10bb1ceebb36baf3767b33,Inflación y costo de vida: qué país de Sudamérica tiene mejor poder adquisitivo y cómo se posiciona Argentina,Diario Mendoza,2026-04-21 18:34:00+00:00,,2026-04-21 18:00:00+00:00,2026-04-21 18:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260421T18_All_Topics_01.md
inflation,inflacion | poder adquisitivo,7,content:6a226873967b543a1649929744a6050cf47f90fc,Inflación y nivel de vida en Sudamérica: qué país ofrece mejor poder adquisitivo y en qué lugar quedó Argentina,Ambito,2026-04-21 12:47:00+00:00,,2026-04-21 16:00:00+00:00,2026-04-23 12:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20260421T16_All_Topics_05.md
inflation,inflacion | salarios,7,content:1607f776365941b3f9680327df0a9943f728bf6a,"Los salarios quedaron por debajo de la inflación en febrero, según INDEC",RTS Medios,2026-04-20 18:46:00+00:00,,2026-04-21 08:00:00+00:00,2026-04-21 12:00:00+00:00,2,All Topics,8h,data/output_digests/headlines_8h_window_20260421T08_All_Topics_03.md
inflation,inflacion | salarios,7,content:11a631d9ab577ba35fa57fab9c0eb7f95adeb2c1,"Los salarios volvieron a perder contra la inflación en febrero, según el INDEC",radio3caseros.com.ar,2026-04-20 17:19:00+00:00,,2026-04-20 17:00:00+00:00,2026-04-21 08:00:00+00:00,3,All Topics,1h,data/output_digests/headlines_1h_window_20260420T17_All_Topics_01.md
